Party,Title,State,Full Name,Committees,Years in this Chamber,Gun Rights,NRA Grand Total,Top Industry,Total Industry Amount,Top Contributor,Total Contributor Amount,@Photo
Republican,Representative,Florida,Gus M. Bilirakis,"Energy and Commerce  
Veterans' Affairs ",11,"$24,150","$16,450",Health Professionals,"$1,118,098",Royal Brush Manufacturing,"$70,481",/Users/enickles/Desktop/thumbsbw/Bilirakis_Gus_M.jpg
Republican,Representative,Michigan,Mike Bishop,Ways and Means ,3,"$13,082","$10,082",Leadership PACs,"$385,050",Amway/Alticor Inc,"$39,400",/Users/enickles/Desktop/thumbsbw/Bishop_Mike.jpg
Republican,Representative,Utah,Rob Bishop,"Natural Resources, Chairman  
Armed Services ",15,"$56,102","$24,302",Oil & Gas,"$439,716",Es3 Inc,"$95,900",/Users/enickles/Desktop/thumbsbw/Bishop_Rob.jpg
Democrat,Representative,Georgia,Sanford D. Bishop Jr.,Appropriations ,25,"$58,961","$49,496",Crop Production & Basic Processing,"$794,151",AFLAC Inc,"$271,500",/Users/enickles/Desktop/thumbsbw/Bishop_Sanford_D.jpg
Republican,Representative,Tennessee,Diane Black,"Budget  
Ways and Means ",7,"$36,866","$22,991",Health Professionals,"$539,701",Votesane PAC,"$108,725",/Users/enickles/Desktop/thumbsbw/Black_Diane.jpg
Republican,Representative,Tennessee,Marsha Blackburn,Energy and Commerce ,15,"$62,751","$36,451",Health Professionals,"$1,291,107",FedEx Corp,"$100,500",/Users/enickles/Desktop/thumbsbw/Blackburn_Marsha.jpg
Republican,Representative,Iowa,Rod Blum,"Oversight and Government Reform  
Small Business ",3,"$65,842","$43,148",Leadership PACs,"$366,875",McCoy Group,"$49,200",/Users/enickles/Desktop/thumbsbw/Blum_Rod.jpg
Democrat,Representative,Oregon,Earl Blumenauer,Ways and Means ,23,$0,$0,Construction Services,"$609,745",Nike Inc,"$113,750",/Users/enickles/Desktop/thumbsbw/Blumenauer_Earl.jpg
Democrat,Senator,Connecticut,Richard Blumenthal,"Armed Services
Commerce, Science, and Transportation
Veterans' Affairs
Judiciary 
Special Committee on Aging",7,$0,"-$64,317",Lawyers/Law Firms,"$1,885,894",Cablevision Systems,"$72,525",/Users/enickles/Desktop/thumbsbw/Blumenthal_Richard.jpg
Republican,Senator,Missouri,Roy Blunt,"Appropriations 
Commerce, Science, and Transportation
Rules and Administration 
Joint Committee on the Library 
Joint Select Committee on Budget and Appropriations Process Reform 
Select Committee on Intelligence",7,"$1,559,799","$4,551,146",Securities & Investment,"$2,251,859",Edward Jones,"$296,000",/Users/enickles/Desktop/thumbsbw/Blunt_Roy.jpg
Democrat,Representative,Oregon,Suzanne Bonamici,"Education and the Workforce  
Science, Space, and Technology ",6,$0,-$376,Lawyers/Law Firms,"$533,299",Perkins Coie,"$87,300",/Users/enickles/Desktop/thumbsbw/Bonamici_Suzanne.jpg
Democrat,Senator,New Jersey,Cory A. Booker,"Environment and Public Works 
Foreign Relations
Small Business and Entrepreneurship
Judiciary",5,$0,"-$23,641",Lawyers/Law Firms,"$2,673,554",NorPAC,"$158,871",/Users/enickles/Desktop/thumbsbw/Booker_Cory_A.jpg
Republican,Senator,Arkansas,John Boozman,"Budget
Commission on Security and Cooperation in Europe 
Agriculture, Nutrition, and Forestry
Appropriations 
Environment and Public Works 
Veterans' Affairs",7,"$100,322","$82,352",Health Professionals,"$770,189",Wal-Mart Stores,"$215,630",/Users/enickles/Desktop/thumbsbw/Boozman_John.jpg
Republican,Representative,Illinois,Mike Bost,"Agriculture  
Transportation and Infrastructure  
Veterans' Affairs ",3,"$26,666","$8,760",Leadership PACs,"$555,454",Exelon Corp,"$36,100",/Users/enickles/Desktop/thumbsbw/Bost_Mike.jpg
Democrat,Representative,Pennsylvania,Brendan F. Boyle,"Budget  
Foreign Affairs ",3,$0,$0,Lawyers/Law Firms,"$225,717",International Brotherhood of Electrical Workers,"$31,375",/Users/enickles/Desktop/thumbsbw/Boyle_Brendan_F.jpg
Republican,Representative,Texas,Kevin Brady,"Ways and Means, Chairman 
Joint Committe on Taxation",21,"$42,555","$30,005",Oil & Gas,"$1,606,762",Anadarko Petroleum,"$176,000",/Users/enickles/Desktop/thumbsbw/Brady_Kevin.jpg
Democrat,Representative,Pennsylvania,Robert A. Brady,"Armed Services  
Joint Comittee on Printing (House Administration), Ranking Member
Joint Comittee on the Library (House Administration)",21,$0,$0,Lawyers/Law Firms,"$848,331",Comcast Corp,"$153,950",/Users/enickles/Desktop/thumbsbw/Brady_Robert_A.jpg
Republican,Representative,Virginia,Dave Brat,"Budget  
Education and the Workforce  
Small Business ",4,"$20,762","$4,000",Retired,"$440,532",Altria Group,"$28,400",/Users/enickles/Desktop/thumbsbw/Brat_Dave.jpg
Republican,Representative,Oklahoma,Jim Bridenstine,"Armed Services  
Science, Space, and Technology ",5,"$12,256","$3,000",Health Professionals,"$241,265",American Optometric Assn,"$30,000",/Users/enickles/Desktop/thumbsbw/Bridenstine_Jim.jpg
Republican,Representative,Alabama,Mo Brooks,"Armed Services  
Foreign Affairs  
Science, Space, and Technology ",7,"$7,000","$5,000",Retired,"$243,609",Dynetics Inc,"$49,750",/Users/enickles/Desktop/thumbsbw/Brooks_Mo.jpg
Republican,Representative,Indiana,Susan W. Brooks,"Ethics, Chairwoman  
Energy and Commerce ",5,"$12,600","$3,000",Lawyers/Law Firms,"$347,515",Eli Lilly & Co,"$74,491",/Users/enickles/Desktop/thumbsbw/Brooks_Susan_W.jpg
Democrat,Representative,Maryland,Sherrod Brown,"Armed Services  
Ethics  
Natural Resources ",11,$0,$0,Defense Aerospace,"$38,000",Orbital ATK,"$10,000",/Users/enickles/Desktop/thumbsbw/Brown_Sherrod.jpg
Democrat,Senator,Ohio,Anthony G. Brown,"Agriculture, Nutrition, and Forestry
Banking, Housing, and Urban Affairs
Finance 
Veterans' Affairs
Joint Select Committee on Solvency of Multiemployer Pension Plans",1,"$10,713","-$1,098,383",Lawyers/Law Firms,"$5,415,146",Ohio State University,"$296,506",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,California,Julia Brownley,"Transportation and Infrastructure  
Veterans' Affairs ",5,$0,"-$10,572",Women's Issues,"$732,922",EMILY's List,"$64,325",/Users/enickles/Desktop/thumbsbw/Brownley_Julia.jpg
Republican,Representative,Florida,Vern Buchanan,"Ways and Means 
Joint Select Committee on Solvency of Multiemployer Pension Plans",11,"$25,527","$19,940",Real Estate,"$1,133,510",Benderson Development,"$169,80",/Users/enickles/Desktop/thumbsbw/Buchanan_Vern.jpg
Republican,Representative,Colorado,Ken Buck,"Judiciary  
Rules ",3,"$909,332","$838,315",Retired,"$613,111",Hensel Phelps Construction,"$156,300",/Users/enickles/Desktop/thumbsbw/Buck_Ken.jpg
Republican,Representative,Indiana,Larry Bucshon,Energy and Commerce ,7,"$19,629","$11,379",Health Professionals,"$837,495",American Academy of Ophthalmology,"$46,000",/Users/enickles/Desktop/thumbsbw/Bucshon_Larry.jpg
Republican,Representative,North Carolina,Ted Budd,Financial Services ,1,"$19,501","$4,000",Commercial Banks,"$52,000",Old Dominion Freight Line,"$14,100",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Texas,Michael C. Burgess,"Energy and Commerce  
Rules ",15,"$24,514","$17,214",Health Professionals,"$2,365,419",American Medical Assn,"$85,216",/Users/enickles/Desktop/thumbsbw/Burgess_Michael_C.jpg
Republican,Senator,North Carolina,Richard Burr,"Finance 
Health, Education, Labor, and Pensions
Select Committee on Intelligence 
Special Committee on Aging",13,"$1,529,546","$6,986,931",Retired,"$2,512,010",Reynolds American,"$290,076",/Users/enickles/Desktop/thumbsbw/Burr_Richard.jpg
Democrat,Representative,Illinois,Cheri Bustos,"Agriculture  
Transportation and Infrastructure ",5,$0,"-$28,489",Lawyers/Law Firms,"$648,156",EMILY's List,"$148,951",/Users/enickles/Desktop/thumbsbw/Bustos_Cheri.jpg
Democrat,Representative,North Carolina,G. K. Butterfield,Energy and Commerce ,14,$0,$0,Pharmaceuticals/Health Products,"$394,195",AT&T Inc,"$63,500",/Users/enickles/Desktop/thumbsbw/Butterfield_G._K.jpg
Republican,Representative,Alabama,Bradley Byrne,"Armed Services  
Education and the Workforce  
Rules ",4,"$12,237","$8,237",Lawyers/Law Firms,"$239,750",Blue Cross/Blue Shield,"$40,500",/Users/enickles/Desktop/thumbsbw/Byrne_Bradley.jpg
Republican,Representative,California,Ken Calvert,Appropriations ,25,"$147,941","$61,125",Real Estate,"$752,268",National Assn of Realtors,"$129,500",/Users/enickles/Desktop/thumbsbw/Calvert_Ken.jpg
Democrat,Senator,Washington,Maria Cantwell,"Commerce, Science, and Transportation
Energy and Natural Resources
Finance 
Indian Affairs
Small Business and Entrepreneurship",17,$0,"-$1,206",Lawyers/Law Firms,"$3,205,591",Microsoft Corp,"$388,689",/Users/enickles/Desktop/thumbsbw/Cantwell_Maria.jpg
Republican,Senator,West Virginia,Shelley Moore Capito,"Appropriations 
Commerce, Science, and Transportation
Energy and Natural Resources
Environment and Public Works 
Rules and Administration",3,"$151,092","$335,770",Leadership PACs,"$1,134,319",Powell Construction,"$143,000",/Users/enickles/Desktop/thumbsbw/Capito_Shelley_Moore.jpg
Democrat,Representative,Massachusetts,Michael E. Capuano,"Financial Services  
Transportation and Infrastructure ",19,$0,$0,Real Estate,"$867,759",American Assn for Justice,"$89,500",/Users/enickles/Desktop/thumbsbw/Capuano_Michael_E.jpg
Democrat,Representative,California,Salud O. Carbajal,"Armed Services  
Budget ",1,$0,"-$2,194",Retired,"$300,182",Sheet Metal Workers Union,"$24,000",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,California,Tony Cardenas,Energy and Commerce ,5,$0,$0,Pharmaceuticals/Health Products,"$269,396",ActBlue,"$57,434",/Users/enickles/Desktop/thumbsbw/Cardenas_Tony.jpg
Democrat,Senator,Maryland,Benjamin L. Cardin,"Commission on Security and Cooperation in Europe 
Environment and Public Works 
Finance 
Foreign Relations
Small Business and Entrepreneurship",11,$0,"-$5,095",Lawyers/Law Firms,"$1,946,670",Johns Hopkins University,"$112,344",/Users/enickles/Desktop/thumbsbw/Cardin_Benjamin_L.jpg
Democrat,Senator,Delaware,Thomas R. Carper,"Environment and Public Works 
Finance 
Homeland Security and Governmental Affairs",17,$0,$0,Lawyers/Law Firms,"$1,081,958",DowDuPont,"$135,828",/Users/enickles/Desktop/thumbsbw/Carper_Thomas_R.jpg
Democrat,Representative,Indiana,Andre Carson,"Transportation and Infrastructure  
Permanent Select Committee on Intelligence ",10,$0,$0,Lawyers/Law Firms,"$473,173",Ice Miller LLP,"$101,470",/Users/enickles/Desktop/thumbsbw/Carson_Andre.jpg
Republican,Representative,Georgia,"Earl L. ""Buddy"" Carter",Energy and Commerce ,3,"$12,652","$4,352",Health Professionals,"$465,450",Rite Aid Corp,"$36,750",/Users/enickles/Desktop/thumbsbw/Carter_Earl_L._.jpg
Republican,Representative,Texas,John R. Carter,Appropriations ,15,"$54,264","$27,014",Real Estate,"$507,874",Dell Technologies,"$118,496",/Users/enickles/Desktop/thumbsbw/Carter_John_R.jpg
Democrat,Representative,Pennsylvania,Matt Cartwright,"Appropriations  
Oversight and Government Reform ",5,$0,$0,Lawyers/Law Firms,"$1,411,906",American Assn for Justice,"$41,750",/Users/enickles/Desktop/thumbsbw/Cartwright_Matt.jpg
Democrat,Senator,Pennsylvania,Robert P. Casey Jr.,"Agriculture, Nutrition, and Forestry
Finance 
Health, Education, Labor, and Pensions
Special Committee on Aging",11,$0,"-$285,949",Lawyers/Law Firms,"$7,270,701",Comcast Corp,"$177,085",/Users/enickles/Desktop/thumbsbw/Casey_Robert_P.jpg
Republican,Senator,Louisiana,Bill Cassidy,"Energy and Natural Resources
Finance 
Health, Education, Labor, and Pensions
Veterans' Affairs
Joint Economic Committee",3,"$810,825","$2,861,047",Health Professionals,"$2,228,605",Edison Chouest Offshore,"$111,900",/Users/enickles/Desktop/thumbsbw/Cassidy_Bill.jpg
Democrat,Representative,Florida,Kathy Castor,Energy and Commerce ,11,$0,$0,Lawyers/Law Firms,"$573,463",EMILY's List,"$66,375",/Users/enickles/Desktop/thumbsbw/Castor_Kathy.jpg
Democrat,Representative,Texas,Joaquin Castro,"Foreign Affairs  
Permanent Select Committee on Intelligence ",5,$0,$0,Lawyers/Law Firms,"$467,828",Laborers Union/Midwest Region,"$35,000",/Users/enickles/Desktop/thumbsbw/Castro_Joaquin.jpg
Republican,Representative,Ohio,Steve Chabot,"Small Business, Chairman  
Foreign Affairs  
Judiciary ",11,"$128,246","$114,548",Leadership PACs,"$1,196,667",American Financial Group,"$236,535",/Users/enickles/Desktop/thumbsbw/Chabot_Steve.jpg
Republican,Representative,Wyoming,Liz Cheney,"Armed Services  
Natural Resources  
Rules ",1,"$15,600","$1,000",Retired,"$36,250",Honeywell International,"$10,999",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Representative,California,Judy Chu,"Small Business  
Ways and Means ",9,$0,$0,Health Professionals,"$367,054",Service Employees International Union,"$57,750",/Users/enickles/Desktop/thumbsbw/Chu_Judy.jpg
Democrat,Representative,Rhode Island,David N. Cicilline,"Foreign Affairs  
Judiciary ",7,$0,"-$1,070",Lawyers/Law Firms,"$741,123",B&D Holding Di Marco Drago e C Sapa,"$97,250",/Users/enickles/Desktop/thumbsbw/Cicilline_David_N.jpg
Democrat,Representative,Massachusetts,Katherine M. Clark,Appropriations ,5,$0,$0,Lawyers/Law Firms,"$371,647",JStreetPAC,"$39,266",/Users/enickles/Desktop/thumbsbw/Clark_Katherine_M.jpg
Democrat,Representative,New York,Yvette D. Clarke,"Energy and Commerce  
Ethics  
Small Business ",11,$0,$0,Building Trade Unions,"$242,450",New York Life Insurance,"$54,925",/Users/enickles/Desktop/thumbsbw/Clarke_Yvette_D.jpg
Democrat,Representative,Missouri,Wm. Lacy Clay,"Financial Services  
Natural Resources  
Oversight and Government Reform ",17,$0,$0,Public Sector Unions,"$363,000",Anheuser-Busch InBev,"$97,250",/Users/enickles/Desktop/thumbsbw/Clay_Wm._Lacy.jpg
Democrat,Representative,Missouri,Emanuel Cleaver,Financial Services ,13,$0,-$71,Lawyers/Law Firms,"$693,352",Husch Blackwell LLP,"$109,945",/Users/enickles/Desktop/thumbsbw/Cleaver_Emanuel.jpg
Democrat,Representative,South Carolina,James E. Clyburn,Assistant Democratic Leader ,25,"$9,900","$9,900",Lawyers/Law Firms,"$1,073,094",American Federation of State/Cnty/Munic Employees,"$128,000",/Users/enickles/Desktop/thumbsbw/Clyburn_James_E.jpg
Republican,Senator,Mississippi,Thad Cochran,"Agriculture, Nutrition, and Forestry
Appropriations 
Rules and Administration",39,"$92,433","$65,833",Crop Production & Basic Processing,"$1,106,175",Telapex Inc,"$104,500",/Users/enickles/Desktop/thumbsbw/Cochran_Thad.jpg
Republican,Representative,Colorado,Mike Coffman,"Armed Services  
Veterans' Affairs ",9,"$446,463","$112,501",Retired,"$1,537,865","Bartlit, Beck et al","$108,250",/Users/enickles/Desktop/thumbsbw/Coffman_Mike.jpg
Democrat,Representative,Tennessee,Steve Cohen,"Ethics  
Judiciary  
Transportation and Infrastructure ",11,$0,$0,Lawyers/Law Firms,"$396,541",FedEx Corp,"$78,750",/Users/enickles/Desktop/thumbsbw/Cohen_Steve.jpg
Republican,Representative,Oklahoma,Tom Cole,"Appropriations  
Budget  
Rules ",15,"$39,921","$26,521",Oil & Gas,"$824,900",Chickasaw Nation,"$137,361",/Users/enickles/Desktop/thumbsbw/Cole_Tom.jpg
Democrat,Representative,New Jersey,Bonnie Watson Coleman,"Homeland Security  
Oversight and Government Reform ",3,$0,$0,Lawyers/Law Firms,"$199,527",Ross Feller Casey LLP,"$37,200",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,New York,Chris Collins,Energy and Commerce ,5,"$8,400","$8,695",Health Professionals,"$273,516",Delaware North Companies,"$73,137",/Users/enickles/Desktop/thumbsbw/Collins_Chris.jpg
Republican,Representative,Georgia,Doug Collins,"Judiciary  
Rules ",5,"$17,640","$11,140",Leadership PACs,"$195,707",AFLAC Inc,"$36,000",/Users/enickles/Desktop/thumbsbw/Collins_Doug.jpg
Republican,Senator,Maine,Susan M. Collins,"Appropriations 
Health, Education, Labor, and Pensions
Select Committee on Intelligence 
Special Committee on Aging",21,"$19,800","$18,099",Retired,"$1,318,169",General Dynamics,"$163,400",/Users/enickles/Desktop/thumbsbw/Collins_Susan_M.jpg
Republican,Representative,Kentucky,James Comer,"Agriculture  
Oversight and Government Reform  
Small Business ",2,"$11,942","$11,192",Crop Production & Basic Processing,"$43,383",Farm Credit Council,"$10,000",/Users/enickles/Desktop/thumbsbw/blank.png
Republican,Representative,Virginia,Barbara Comstock,"Joint Committee on Printing (House Administration)
Science, Space, and Technology  
Transportation and Infrastructure 
Joint Economic Committee",3,"$245,228","$137,232",Elliott Management,"$140,329",Leadership PACs,"$738,350",/Users/enickles/Desktop/thumbsbw/Comstock_Barbara.jpg
Republican,Representative,Texas,K. Michael Conaway,"Agriculture, Chairman  
Armed Services  
Permanent Select Committee on Intelligence ",13,"$55,764","$16,064",Oil & Gas,"$1,369,342",American Institute of CPAs,"$84,620",/Users/enickles/Desktop/thumbsbw/Conaway_K._Michael.jpg
Democrat,Representative,Virginia,Gerald E. Connolly,"Foreign Affairs  
Oversight and Government Reform ",9,$0,"-$24,126",Retired,"$610,385",Leidos Inc,"$75,250",/Users/enickles/Desktop/thumbsbw/Connolly_Gerald_E.jpg
Republican,Representative,California,Paul Cook,"Armed Services  
Foreign Affairs  
Natural Resources ",5,"$16,100","$8,000",Casinos/Gambling,"$234,716",CEMEX Inc,"$37,250",/Users/enickles/Desktop/thumbsbw/Cook_Paul.jpg
Democrat,Senator,Delaware,Christopher A. Coons,"Appropriations 
Foreign Relations
Small Business and Entrepreneurship
Judiciary 
Select Committee on Ethics",8,"$26,000","-$34,763",Lawyers/Law Firms,"$1,836,723","Young, Conaway et al","$147,050",/Users/enickles/Desktop/thumbsbw/Coons_Christopher_A.jpg
Democrat,Representative,Tennessee,Jim Cooper,"Armed Services  
Oversight and Government Reform ",27,$201,$201,Lawyers/Law Firms,"$1,084,403",Vanderbilt University,"$129,811",/Users/enickles/Desktop/thumbsbw/Cooper_Jim.jpg
Republican,Senator,Tennessee,Bob Corker,"Banking, Housing, and Urban Affairs
Budget 
Foreign Relations
Special Committee on Aging",11,"$179,732","$79,203",Securities & Investment,"$1,997,967",Fedex Corp,"$155,000",/Users/enickles/Desktop/thumbsbw/Corker_Bob.jpg
Republican,Senator,Texas,John Cornyn,"Finance 
Judiciary 
Select Committee on Intelligence 
United States Senate Caucus on International Narcotics Control",16,"$227,570","$59,635",Oil & Gas,"$3,176,065",Exxon Mobil,"$137,500",/Users/enickles/Desktop/thumbsbw/Cornyn_John.jpg
Democrat,Representative,California,J. Luis Correa,"Homeland Security  
Veterans' Affairs ",1,$0,$0,Real Estate,"$31,150",New Democrat Coalition,"$13,500",/Users/enickles/Desktop/thumbsbw/blank.png
Democrat,Senator,Nevada,Catherine Cortez Masto,"Banking, Housing, and Urban Affairs
Commerce, Science, and Transportation
Energy and Natural Resources
Indian Affairs
Rules and Administration 
Special Committee on Aging",1,$0,"-$2,529,305",Women's Issues,"$1,668,630",EMILY's List,"$565,679",/Users/enickles/Desktop/thumbsbw/Cortez_Masto_Catherine_.jpg
Democrat,Representative,California,Jim Costa,"Agriculture  
Natural Resources ",13,"$2,900","-$81,223",,"$1,303,714",ML Street Properties,"$111,800",/Users/enickles/Desktop/thumbsbw/Costa_Jim.jpg
Republican,Representative,Pennsylvania,Ryan A. Costello,Energy and Commerce ,3,"$30,994","$31,119",Leadership PACs,"$527,119",Comcast Corp,"$55,450",/Users/enickles/Desktop/thumbsbw/Costello_Ryan_A.jpg
Republican,Senator,Arkansas,Tom Cotton,"Armed Services
Banking, Housing, and Urban Affairs
Budget 
Joint Economic Committee 
Select Committee on Intelligence",3,"$2,030,115","$1,968,714",Securities & Investment,"$1,684,790",Club for Growth,"$707,757",/Users/enickles/Desktop/thumbsbw/Cotton_Tom.jpg
Democrat,Representative,Connecticut,Joe Courtney,"Armed Services  
Education and the Workforce ",11,$0,"-$13,852",Lawyers/Law Firms,"$1,101,339",General Dynamics,"$165,900",/Users/enickles/Desktop/thumbsbw/Courtney_Joe.jpg
Republican,Representative,North Dakota,Kevin Cramer,Energy and Commerce ,5,"$35,424","$12,711",Oil & Gas,"$821,850",Oasis Petroleum,"$63,900",/Users/enickles/Desktop/thumbsbw/Cramer_Kevin.jpg
Republican,Senator,Idaho,Mike Crapo,"Banking, Housing, and Urban Affairs
Budget 
Finance 
Indian Affairs
Judiciary 
Joint Committee on Taxation 
Joint Select Committee on Solvency of Multiemployer Pension Plans",19,"$92,879","$59,989",Securities & Investment,"$1,604,479",Stephens Inc,"$87,200",/Users/enickles/Desktop/thumbsbw/Crapo_Mike.jpg
Republican,Representative,Arkansas,"Eric A. ""Rick"" Crawford","Agriculture  
Transportation and Infrastructure  
Permanent Select Committee on Intelligence ",7,"$17,212","$8,977",Crop Production & Basic Processing,"$555,962",Stephens Group,"$97,000",/Users/enickles/Desktop/thumbsbw/Crawford_Eric_A._.jpg
