Party	Title	State	Full Name	Committees	Committee 1	Committee 2	Committee 3	Committee 4	Committee 5	Committee 6	Committee 7	Years in Current Chamber	NRA Rank	NRA Grand Total	Top Industry	Total Industry Amount	Top Contributor	Total Contributor Amount	@Photo
Republican	Senator	Kansas	Pat Roberts	Agriculture, Nutrition, and Forestry Finance  Health, Education, Labor, and Pensions Rules and Administration  Joint Committee on Printing  Joint Committee on the Library  Select Committee on Ethics	Agriculture, Nutrition, and Forestry	Finance 	Health, Education, Labor, and Pensions	Rules and Administration 	Joint Committee on Printing 	Joint Committee on the Library 	Select Committee on Ethics	21	13	$1,584,153	Agricultural Services/Products	$1,016,201	Koch Industries	$186,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:Roberts_Pat.jpg
Republican	Senator	Pennsylvania	Pat Toomey	Banking, Housing, and Urban Affairs Budget Finance 	Banking, Housing, and Urban Affairs	Budget	Finance 					7	14	$1,467,821	Retired	$4,105,990	Club for Growth	$1,272,299	Macintosh HD:Users:enickles:Desktop:thumbsbw:Toomey_Pat.jpg
Republican	Senator	Wisconsin	Ron Johnson	Budget Commerce, Science, and Transportation Foreign Relations Homeland Security and Governmental Affairs 	Budget	Commerce, Science, and Transportation	Foreign Relations	Homeland Security and Governmental Affairs 				7	15	$1,269,486	Retired	$6,283,444	Club for Growth	$525,533	Macintosh HD:Users:enickles:Desktop:thumbsbw:Johnson_Ron.jpg
Republican	Senator	Kentucky	Mitch McConnell	Agriculture, Nutrition, and Forestry Appropriations  Rules and Administration  Select Committee on Intelligence	Agriculture, Nutrition, and Forestry	Appropriations 	Rules and Administration 	Select Committee on Intelligence				33	16	$1,261,874	Securities & Investment	$4,281,363	Blackstone Group	$313,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:McConnell_Mitch.jpg
Republican	Representative	Arkansas	J. French Hill	Financial Services 	Financial Services 							3	17	$1,089,477	Securities & Investment	$622,321	Stephens Group	$205,475	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hill_J._French.jpg
Republican	Representative	Colorado	Ken Buck	Judiciary   Rules 	Judiciary  	Rules 						3	18	$838,315	Retired	$613,111	Hensel Phelps Construction	$156,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Buck_Ken.jpg
Republican	Representative	Iowa	David Young	Appropriations 	Appropriations 							3	19	$707,662	Leadership PACs	$665,435	Berkshire Hathaway	$41,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Young_David.jpg
Republican	Senator	South Dakota	John Thune	Agriculture, Nutrition, and Forestry Commerce, Science, and Transportation Finance	Agriculture, Nutrition, and Forestry	Commerce, Science, and Transportation	Finance					13	20	$632,486	Retired	$3,512,408	Club for Growth	$155,497	Macintosh HD:Users:enickles:Desktop:thumbsbw:Thune_John.jpg
Republican	Representative	Idaho	Michael K. Simpson	Appropriations 	Appropriations 							19	21	$385,731	Electric Utilities	$59,150	AECOM Global	$13,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Simpson_Michael_K.jpg
Republican	Senator	Arizona	Jeff Flake	Energy and Natural Resources Foreign Relations Judiciary  Special Committee on Aging	Energy and Natural Resources	Foreign Relations	Judiciary 	Special Committee on Aging				5	22	$365,302	Republican/Conservative	$1,488,893	Club for Growth	$1,030,185	Macintosh HD:Users:enickles:Desktop:thumbsbw:Flake_Jeff.jpg
Republican	Representative	Montana	Greg Gianforte	Natural Resources   Oversight and Government Reform 	Natural Resources  	Oversight and Government Reform 						1	23	$344,630	Retired	$650,541	Jc Billion Inc	$37,400	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Senator	West Virginia	Shelley Moore Capito	Appropriations  Commerce, Science, and Transportation Energy and Natural Resources Environment and Public Works  Rules and Administration	Appropriations 	Commerce, Science, and Transportation	Energy and Natural Resources	Environment and Public Works 	Rules and Administration			3	24	$335,770	Leadership PACs	$1,134,319	Powell Construction	$143,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Capito_Shelley_Moore.jpg
Republican	Senator	Alabama	Richard C. Shelby	Appropriations  Banking, Housing, and Urban Affairs Environment and Public Works  Rules and Administration  Joint Committee on Printing  Joint Committee on the Library	Appropriations 	Banking, Housing, and Urban Affairs	Environment and Public Works 	Rules and Administration 	Joint Committee on Printing 	Joint Committee on the Library		31	25	$259,464	Lawyers/Law Firms	$2,776,402	Southern Co	$184,341	Macintosh HD:Users:enickles:Desktop:thumbsbw:Shelby_Richard_C.jpg
Republican	Representative	Alaska	Don Young	Natural Resources   Transportation and Infrastructure 	Natural Resources  	Transportation and Infrastructure 						45	26	$245,720	Oil & Gas	$1,406,068	Veco Corp	$231,620	Macintosh HD:Users:enickles:Desktop:thumbsbw:Young_Don.jpg
Republican	Senator	Iowa	Chuck Grassley	Agriculture, Nutrition, and Forestry Budget  Finance  Judiciary  Joint Committee on Taxation  United States Senate Caucus on International Narcotics Control	Agriculture, Nutrition, and Forestry	Budget 	Finance 	Judiciary 	Joint Committee on Taxation 	United States Senate Caucus on International Narcotics Control		37	27	$232,337	Insurance	$1,618,175	DCI Group	$142,937	Macintosh HD:Users:enickles:Desktop:thumbsbw:Grassley_Chuck.jpg
Republican	Representative	Pennsylvania	Lloyd Smucker	Budget   Education and the Workforce   Transportation and Infrastructure 	Budget  	Education and the Workforce  	Transportation and Infrastructure 					1	28	$222,736	Leadership PACs	$115,500	Four Seasons Produce	$20,800	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Senator	Louisiana	John Kennedy	Appropriations  Banking, Housing, and Urban Affairs Budget  Small Business and Entrepreneurship Judiciary	Appropriations 	Banking, Housing, and Urban Affairs	Budget 	Small Business and Entrepreneurship	Judiciary			1	29	$215,788	Retired	$700,510	Morris & Dickson	$40,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Kennedy_Joseph_P.jpg
Republican	Representative	Maine	Bruce Poliquin	Financial Services   Veterans' Affairs 	Financial Services  	Veterans' Affairs 						3	30	$203,398	Retired	$792,075	Zweig-Dimenna Assoc	$47,150	Macintosh HD:Users:enickles:Desktop:thumbsbw:Poliquin_Bruce.jpg
Republican	Representative	Texas	Pete Sessions	Rules, Chairman  Joint Select Committee on Budget and Appropriations Process Reform	Rules, Chairman 	Joint Select Committee on Budget and Appropriations Process Reform						21	31	$158,111	Health Professionals	$1,864,812	AT&T Inc	$200,940	Macintosh HD:Users:enickles:Desktop:thumbsbw:Sessions_Pete.jpg
Republican	Senator	Alaska	Lisa Murkowski	Appropriations  Energy and Natural Resources Health, Education, Labor, and Pensions Committee on Indian Affairs	Appropriations 	Energy and Natural Resources	Health, Education, Labor, and Pensions	Committee on Indian Affairs				15	32	$141,536	Oil & Gas	$1,413,744	ConocoPhillips	$81,450	Macintosh HD:Users:enickles:Desktop:thumbsbw:Murkowski_Lisa.jpg
Republican	Senator	Utah	Orrin G. Hatch	Finance  Health, Education, Labor, and Pensions Judiciary  Joint Committee on Taxation  Joint Select Committee on Solvency of Multiemployer Pension Plans  Special Committee on Aging	Finance 	Health, Education, Labor, and Pensions	Judiciary 	Joint Committee on Taxation 	Joint Select Committee on Solvency of Multiemployer Pension Plans 	Special Committee on Aging		41	33	$140,748	Pharmaceuticals/Health Products	$2,859,250	Votesane PAC	$571,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Hatch_Orrin_G.jpg
Republican	Representative	Virginia	Barbara Comstock	Joint Committee on Printing (House Administration) Science, Space, and Technology   Transportation and Infrastructure  Joint Economic Committee	Joint Committee on Printing (House Administration)	Science, Space, and Technology  	Transportation and Infrastructure 	Joint Economic Committee				3	34	$137,232	Elliott Management	$140,329	Leadership PACs	$738,350	Macintosh HD:Users:enickles:Desktop:thumbsbw:Comstock_Barbara.jpg
Republican	Representative	Virginia	Bob Goodlatte	Judiciary, Chairman   Agriculture 	Judiciary, Chairman  	Agriculture 						25	35	$137,126	Retired	$768,175	National Auto Dealers Assn	$107,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Goodlatte_Bob.jpg
Republican	Senator	Georgia	Johnny Isakson	Finance  Foreign Relations Health, Education, Labor, and Pensions Veterans' Affairs Select Committee on Ethics	Finance 	Foreign Relations	Health, Education, Labor, and Pensions	Veterans' Affairs	Select Committee on Ethics			13	36	$130,809	Real Estate	$3,393,671	Home Depot	$266,100	Macintosh HD:Users:enickles:Desktop:thumbsbw:Isakson_Johnny.jpg
Republican	Senator	Nevada	Dean Heller	Banking, Housing, and Urban Affairs Commerce, Science, and Transportation Finance  Veterans' Affairs	Banking, Housing, and Urban Affairs	Commerce, Science, and Transportation	Finance 	Veterans' Affairs				7	37	$126,802	Leadership PACs	$1,243,341	MGM Resorts International	$179,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:Heller_Dean.jpg
Republican	Senator	Montana	Steve Daines	Agriculture, Nutrition, and Forestry Appropriations  Energy and Natural Resources Homeland Security and Governmental Affairs  Committee on Indian Affairs	Agriculture, Nutrition, and Forestry	Appropriations 	Energy and Natural Resources	Homeland Security and Governmental Affairs 	Committee on Indian Affairs			3	38	$121,711	Retired	$819,588	Elliott Management	$115,600	Macintosh HD:Users:enickles:Desktop:thumbsbw:Daines_Steve.jpg
Republican	Representative	Ohio	Steve Chabot	Small Business, Chairman   Foreign Affairs   Judiciary 	Small Business, Chairman  	Foreign Affairs  	Judiciary 					11	39	$114,548	Leadership PACs	$1,196,667	American Financial Group	$236,535	Macintosh HD:Users:enickles:Desktop:thumbsbw:Chabot_Steve.jpg
Republican	Representative	Colorado	Mike Coffman	Armed Services   Veterans' Affairs 	Armed Services  	Veterans' Affairs 						9	40	$112,501	Retired	$1,537,865	Bartlit, Beck et al	$108,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Coffman_Mike.jpg
Republican	Senator	Kentucky	Rand Paul	Foreign Relations Health, Education, Labor, and Pensions Homeland Security and Governmental Affairs  Small Business and Entrepreneurship	Foreign Relations	Health, Education, Labor, and Pensions	Homeland Security and Governmental Affairs 	Small Business and Entrepreneurship				7	41	$104,456	Retired	$2,175,003	Club for Growth	$185,315	Macintosh HD:Users:enickles:Desktop:thumbsbw:Paul_Rand.jpg
Republican	Representative	Colorado	Scott R. Tipton	Financial Services   Natural Resources 	Financial Services  	Natural Resources 						7	42	$104,023	Retired	$864,624	Sg Interests	$50,039	Macintosh HD:Users:enickles:Desktop:thumbsbw:Tipton_Scott__R.jpg
Republican	Representative	Michigan	Tim Walberg	Education and the Workforce   Energy and Commerce 	Education and the Workforce  	Energy and Commerce 						9	43	$103,605	Leadership PACs	$1,069,687	Club for Growth	$396,445	Macintosh HD:Users:enickles:Desktop:thumbsbw:Walberg_Tim.jpg
Republican	Representative	Missouri	Sam Graves	Armed Services   Transportation and Infrastructure 	Armed Services  	Transportation and Infrastructure 						17	44	$102,137	Leadership PACs	$678,678	Crawford Group	$278,250	Macintosh HD:Users:enickles:Desktop:thumbsbw:Graves_Sam.jpg
Republican	Representative	Washington	Jaime Herrera Beutler	Appropriations 	Appropriations 							7	45	$95,298	Retired	$566,801	Kiewit Corp	$56,150	Macintosh HD:Users:enickles:Desktop:thumbsbw:Herrera_Beutler_Jaime.jpg
Republican	Senator	South Dakota	Mike Rounds	Armed Services Banking, Housing, and Urban Affairs Environment and Public Works  Small Business and Entrepreneurship Veterans' Affairs	Armed Services	Banking, Housing, and Urban Affairs	Environment and Public Works 	Small Business and Entrepreneurship	Veterans' Affairs			3	46	$93,049	Securities & Investment	$353,458	Citigroup Inc	$43,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:Rounds_Mike_.jpg
Republican	Representative	Georgia	Karen C. Handel	Education and the Workforce   Judiciary  Joint Economic Committee	Education and the Workforce  	Judiciary 	Joint Economic Committee					1	47	$90,258	Retired	$770,864	Susan B Anthony List	$32,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Senator	Mississippi	Roger F. Wicker	Budget  Commission on Security and Cooperation in Europe  Armed Services Commerce, Science, and Transportation Environment and Public Works  Rules and Administration  Joint Committee on Printing	Budget 	Commission on Security and Cooperation in Europe 	Armed Services	Commerce, Science, and Transportation	Environment and Public Works 	Rules and Administration 	Joint Committee on Printing	11	48	$89,406	Leadership PACs	$942,977	Telapex Inc	$116,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Wicker_Roger_F.jpg
Republican	Representative	New Mexico	Stevan Pearce	Financial Services   Natural Resources 	Financial Services  	Natural Resources 						13	49	$88,314	Oil & Gas	$2,064,643	Club for Growth	$347,867	Macintosh HD:Users:enickles:Desktop:thumbsbw:Pearce_Stevan.jpg
Republican	Senator	Arkansas	John Boozman	Budget Commission on Security and Cooperation in Europe  Agriculture, Nutrition, and Forestry Appropriations  Environment and Public Works  Veterans' Affairs	Budget	Commission on Security and Cooperation in Europe 	Agriculture, Nutrition, and Forestry	Appropriations 	Environment and Public Works 	Veterans' Affairs		7	50	$82,352	Health Professionals	$770,189	Wal-Mart Stores	$215,630	Macintosh HD:Users:enickles:Desktop:thumbsbw:Boozman_John.jpg
Republican	Senator	Tennessee	Bob Corker	Banking, Housing, and Urban Affairs Budget  Foreign Relations Special Committee on Aging	Banking, Housing, and Urban Affairs	Budget 	Foreign Relations	Special Committee on Aging				11	51	$79,203	Securities & Investment	$1,997,967	Fedex Corp	$155,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Corker_Bob.jpg
Republican	Representative	Arizona	David Schweikert	Ways and Means  Joint Economic Committee Joint Select Committee on Solvency of Multiemployer Pension Plans	Ways and Means 	Joint Economic Committee	Joint Select Committee on Solvency of Multiemployer Pension Plans					7	52	$77,687	Retired	$563,598	Services Group Of America	$57,850	Macintosh HD:Users:enickles:Desktop:thumbsbw:Schweikert_David.jpg
Republican	Senator	Texas	Ted Cruz	Armed Services Commerce, Science, and Transportation Rules and Administration  Judiciary  Joint Economic Committee	Armed Services	Commerce, Science, and Transportation	Rules and Administration 	Judiciary 	Joint Economic Committee			5	53	$77,450	Retired	$15,799,002	Club for Growth	$788,487	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cruz_Ted.jpg
Republican	Representative	Pennsylvania	Bill Shuster	Transportation and Infrastructure, Chairman   Armed Services 	Transportation and Infrastructure, Chairman  	Armed Services 						17	54	$77,348	Air Transport	$832,049	New Enterprise Stone & Lime	$163,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Shuster_Bill.jpg
Republican	Representative	Florida	Carlos Curbelo	Ways and Means 	Ways and Means 							3	55	$75,425	Leadership PACs	$790,000	Leon Medical Centers	$71,600	Macintosh HD:Users:enickles:Desktop:thumbsbw:Curbelo_Carlos.jpg
Republican	Representative	Ohio	Steve Stivers	Financial Services 	Financial Services 							7	56	$70,997	Insurance	$1,365,808	American Electric Power	$321,300	Macintosh HD:Users:enickles:Desktop:thumbsbw:Stivers_Steve.jpg
Republican	Senator	Nebraska	Ben Sasse	Armed Services Banking, Housing, and Urban Affairs Judiciary  Joint Economic Committee	Armed Services	Banking, Housing, and Urban Affairs	Judiciary 	Joint Economic Committee				3	57	$68,623	Republican/Conservative	$703,702	Club for Growth	$294,987	Macintosh HD:Users:enickles:Desktop:thumbsbw:Sasse_Ben_.jpg
Republican	Representative	Arizona	Martha McSally	Armed Services   Homeland Security 	Armed Services  	Homeland Security 						3	58	$68,234	Retired	$2,128,976	Elliott Management	$110,732	Macintosh HD:Users:enickles:Desktop:thumbsbw:McSally_Martha.jpg
Republican	Senator	Mississippi	Thad Cochran	Agriculture, Nutrition, and Forestry Appropriations  Rules and Administration	Agriculture, Nutrition, and Forestry	Appropriations 	Rules and Administration					39	59	$65,833	Crop Production & Basic Processing	$1,106,175	Telapex Inc	$104,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cochran_Thad.jpg
Republican	Senator	Oklahoma	James M. Inhofe	Armed Services Commerce, Science, and Transportation Environment and Public Works  Small Business and Entrepreneurship	Armed Services	Commerce, Science, and Transportation	Environment and Public Works 	Small Business and Entrepreneurship				24	60	$65,191	Oil & Gas	$1,858,227	Koch Industries	$105,150	Macintosh HD:Users:enickles:Desktop:thumbsbw:Inhofe_James_M.jpg
Republican	Representative	Texas	Joe Barton	Energy and Commerce 	Energy and Commerce 							33	61	$63,912	Oil & Gas	$2,172,237	Anadarko Petroleum	$181,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Barton_Joe.jpg
Republican	Representative	Iowa	Steve King	Agriculture   Judiciary   Small Business 	Agriculture  	Judiciary  	Small Business 					15	62	$63,404	Republican/Conservative	$674,318	Club for Growth	$269,132	Macintosh HD:Users:enickles:Desktop:thumbsbw:King_Steve.jpg
Republican	Representative	Pennsylvania	Charles W. Dent	Appropriations 	Appropriations 							13	63	$62,773	Health Professionals	$860,324	PPL Corp	$221,899	Macintosh HD:Users:enickles:Desktop:thumbsbw:Dent_Charles_W.jpg
Republican	Representative	Wisconsin	Paul D. Ryan	The Speaker 	The Speaker 							19	64	$61,401	Retired	$8,116,479	Northwestern Mutual	$271,725	Macintosh HD:Users:enickles:Desktop:thumbsbw:Ryan_Paul_D.jpg
Republican	Representative	California	Ken Calvert	Appropriations 	Appropriations 							25	65	$61,125	Real Estate	$752,268	National Assn of Realtors	$129,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Calvert_Ken.jpg
Republican	Representative	Kentucky	Harold Rogers	Appropriations 	Appropriations 							37	66	$60,429	Air Transport	$522,224	National Rural Electric Cooperative Assn	$97,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Rogers_Harold.jpg
Republican	Senator	Idaho	Mike Crapo	Banking, Housing, and Urban Affairs Budget  Finance  Indian Affairs Judiciary  Joint Committee on Taxation  Joint Select Committee on Solvency of Multiemployer Pension Plans	Banking, Housing, and Urban Affairs	Budget 	Finance 	Indian Affairs	Judiciary 	Joint Committee on Taxation 	Joint Select Committee on Solvency of Multiemployer Pension Plans	19	67	$59,989	Securities & Investment	$1,604,479	Stephens Inc	$87,200	Macintosh HD:Users:enickles:Desktop:thumbsbw:Crapo_Mike.jpg
Republican	Senator	Texas	John Cornyn	Finance  Judiciary  Select Committee on Intelligence  United States Senate Caucus on International Narcotics Control	Finance 	Judiciary 	Select Committee on Intelligence 	United States Senate Caucus on International Narcotics Control				16	68	$59,635	Oil & Gas	$3,176,065	Exxon Mobil	$137,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Cornyn_John.jpg
Republican	Representative	Illinois	John Shimkus	Energy and Commerce 	Energy and Commerce 							21	69	$59,304	Health Professionals	$1,261,703	AT&T Inc	$127,638	Macintosh HD:Users:enickles:Desktop:thumbsbw:Shimkus_John.jpg
Republican	Representative	Ohio	Bill Johnson	Budget   Energy and Commerce  Joint Committee on Taxation	Budget  	Energy and Commerce 	Joint Committee on Taxation					7	70	$56,656	Oil & Gas	$482,916	Brilex Industries	$72,977	Macintosh HD:Users:enickles:Desktop:thumbsbw:Johnson_Bill.jpg
Republican	Representative	North Carolina	Walter B. Jones Jr.	Armed Services 	Armed Services 							23	71	$56,655	Health Professionals	$567,587	Democracy Engine	$89,090	Macintosh HD:Users:enickles:Desktop:thumbsbw:blank.png
Republican	Representative	New York	Lee M. Zeldin	Financial Services   Foreign Affairs 	Financial Services  	Foreign Affairs 						3	72	$56,281	Real Estate	$604,568	Elliott Management	$58,616	Macintosh HD:Users:enickles:Desktop:thumbsbw:Zeldin_Lee_M.jpg
Republican	Representative	Wisconsin	Sean P. Duffy	Financial Services 	Financial Services 							7	73	$54,514	Retired	$813,864	Wausau Homes	$67,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Duffy_Sean_P.jpg
Republican	Representative	Kansas	Kevin Yoder	Appropriations  Joint Committee on the Library (House Administration)	Appropriations 	Joint Committee on the Library (House Administration)						7	74	$52,938	Securities & Investment	$625,685	QC Holdings	$179,607	Macintosh HD:Users:enickles:Desktop:thumbsbw:Yoder_Kevin.jpg
Republican	Representative	California	Tom McClintock	Budget   Natural Resources 	Budget  	Natural Resources 						9	75	$52,842	Retired	$932,235	Technical Maintenance Support Inc	$82,600	Macintosh HD:Users:enickles:Desktop:thumbsbw:McClintock_Tom.jpg
Republican	Representative	Oklahoma	Frank D. Lucas	Agriculture   Financial Services   Science, Space, and Technology 	Agriculture  	Financial Services  	Science, Space, and Technology 					25	76	$52,121	Crop Production & Basic Processing	$1,143,25	American Bankers Assn	$118,134	Macintosh HD:Users:enickles:Desktop:thumbsbw:Lucas_Frank_D.jpg
Republican	Representative	California	David G. Valadao	Appropriations 	Appropriations 							5	77	$51,570	Crop Production & Basic Processing	$1,229,364	Harris Farms	$45,150	Macintosh HD:Users:enickles:Desktop:thumbsbw:Valadao_David_G.jpg
Republican	Representative	Alabama	Robert B. Aderholt	Appropriations 	Appropriations 							21	78	$49,928	Lawyers/Law Firms	$437,823	Southern Co	$130,334	Macintosh HD:Users:enickles:Desktop:thumbsbw:Aderholt_Robert_B.jpg
Democratic	Representative	Georgia	Sanford D. Bishop Jr.	Appropriations 	Appropriations 							25	79	$49,496	Crop Production & Basic Processing	$794,151	AFLAC Inc	$271,500	Macintosh HD:Users:enickles:Desktop:thumbsbw:Bishop_Sanford_D.jpg
Republican	Senator	South Carolina	Lindsey Graham	Appropriations  Armed Services Budget  Judiciary	Appropriations 	Armed Services	Budget 	Judiciary				15	80	$49,049	Lawyers/Law Firms	$4,203,247	Nelson, Mullins et al	$276,747	Macintosh HD:Users:enickles:Desktop:thumbsbw:Graham_Lindsey.jpg
Republican	Representative	Ohio	David P. Joyce	Appropriations 	Appropriations 							5	81	$47,921	Leadership PACs	$422,203	Park Ohio Holdings	$50,900	Macintosh HD:Users:enickles:Desktop:thumbsbw:Joyce_David_P.jpg
Republican	Representative	California	Jeff Denham	Agriculture   Natural Resources   Transportation and Infrastructure 	Agriculture  	Natural Resources  	Transportation and Infrastructure 					7	82	$46,861	Crop Production & Basic Processing	$1,148,878	BNSF Railway	$80,050	Macintosh HD:Users:enickles:Desktop:thumbsbw:Denham_Jeff.jpg
Democratic	Representative	Texas	Gene Green	Energy and Commerce 	Energy and Commerce 							25	83	$46,814	Health Professionals	$1,234,302	Communications Workers of America	$170,000	Macintosh HD:Users:enickles:Desktop:thumbsbw:Green_Gene.jpg
Democratic	Representative	Minnesota	Collin C. Peterson	Agriculture 	Agriculture 							27	84	$46,759	Crop Production & Basic Processing	$1,602,290	American Institute of CPAs	$141,996	Macintosh HD:Users:enickles:Desktop:thumbsbw:Peterson_Collin_C.jpg
